Компани	Ажлын зар	Салбар	Түвшин	Төрөл	Цалин	Байршил	Он сар	Тохиролцоно
Номин Холдинг ХХК	Төслийн менежер /Барилга салбар/	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 27. 10:43	False
Номин Холдинг ХХК	Талбайн Нярав	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:42	False
Номин Холдинг ХХК	График дизайнер	Хэвлэл мэдээлэл, Медиа	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:42	False
Рэйн сторм даст контрол ххк	оффис менежир нарийн бичиг	Уул уурхай	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:42	False
Монцемент Билдинг Материалс ХХК	Үйлдвэрийн эрүүл ахуйч /СХД хуучин 22 товчоо/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:41	False
Монцемент Билдинг Материалс ХХК	ХАБЭА ахлах ажилтан /СХД, хуучин 22 товчоо/	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:41	False
Атар-Өргөө ХК	Нягтлан бодогч ажилд авна.	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:40	False
Эн ви си монголиа ххк	Дэлгүүрт хөтөч, борлуулагч	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 27. 10:40	False
Атар-Өргөө ХК	Диспетчер нябо	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:40	False
Номин Холдинг ХХК	Барилга бүтээцийн мэргэшсэн зургийн инженер	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 27. 10:40	False
Атар-Өргөө ХК	Бэлэн бүтээгдэхүүний нярав /Эрэгтэй/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Ээлжийн	1,000,000 - 1,200,000	Улаанбаатар хот	3 сарын 27. 10:40	False
Атар-Өргөө ХК	Үйлдвэрийн ажилтан сургаж ажлын байраар хангана.	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:39	False
Ай Ти Зон ХХК	ДАТА САЙЕНТИСТ	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 27. 10:39	False
Атар-Өргөө ХК	Жолооч	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:39	False
Атар-Өргөө ХК	Борлуулагч-жолооч	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:39	False
Атар-Өргөө ХК	Үйлчлэгч	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:38	False
Дрийм интерпрайз	Авлагын Нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:37	False
Монгол Эм Импэкс Концерн	Дотоод мониторингын мэргэжилтэн	Харуул хамгаалалт	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 27. 10:37	False
Нвц ХХК	Борлуулалтын нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:37	False
Би ди өү аудит ХХК	Хүний нөөцийн мэргэжилтэн	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:37	False
Би ди өү аудит ХХК	Оффисын туслах	Захиргаа, Хүний нөөц	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:37	False
Би ди өү аудит ХХК	Нягтлан бодох бүртгэлийн туслах мэргэжилтэн	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:37	False
Хүннү мебель ХХК	Тавилгын үйлдвэрийн технологич	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 27. 10:35	False
Алтан Жолоо Трейд ХХК	Зохион байгуулагч  /Хан-уул дүүрэгт/	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 27. 10:35	False
Номун	Хөдөлгөөн засалч /Хөдөлмөр засалч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:34	False
КАРЬЕР МАСТЕР ХХК	БҮРДҮҮЛЭЛТ, СОНГОН ШАЛГАРУУЛАЛТЫН МЭРГЭЖИЛТЭН	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:34	False
Алтан Жолоо Трейд ХХК	Хабэа-н инженер	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 27. 10:33	False
Алтан Жолоо Трейд ХХК	Сургалтын ахлах менежер	Захиргаа, Хүний нөөц	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:33	False
КАРЬЕР МАСТЕР ХХК	ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /БЗД-т/	Захиргаа, Хүний нөөц	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 27. 10:33	False
КАРЬЕР МАСТЕР ХХК	МАРКЕТИНГИЙН АЛБАНЫ ДАРГА /СХД-т/	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:32	False
КАРЬЕР МАСТЕР ХХК	ҮЙЛЧИЛЭГЧ /БГД-т/	Үйлчилгээ	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 27. 10:32	False
Нарантуул Групп	Нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 27. 10:32	False
Монголын цогц сургалт хөгжлийн академи	оффис менежер ажилд авна	Боловсрол, Шинжлэх ухаан	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:32	False
Нарантуул Групп	Нярав	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 27. 10:31	False
Нарантуул Групп	Рестораны менежер	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 27. 10:30	False
Нарантуул Групп	Зочид буудлын ресепшин ажилд авна.	Аялал жуулчлал, зочид буудал	Мэргэжил хамаарахгүй	Ээлжийн	1,000,000 - 1,200,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 27. 10:30	False
Нэкст Групп XXK	ДАТА АНАЛИСТ	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:30	False
Нарантуул Групп	Ашиглалтын инженер	Аялал жуулчлал, зочид буудал	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 27. 10:30	False
Хера Экуйпмент ХХК	Сэлбэгийн худалдааны төлөөлөгч	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:30	False
Нарантуул Групп	Зөөгч	Ресторан, Хоол үйлдвэрлэл	Мэргэжил хамаарахгүй	Ээлжийн	800,000 - 1,000,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 27. 10:30	False
Мари Стопс Олон Улсын байгууллага	Борлуулалтын менежер бөгөөд Эмч төлөөлөгч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 27. 10:28	False
Хангал Констракшн ХХК	Дизайнер	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 10:27	False
Азиа Пасифик Инвестмэнт Партнерс ХХК	Senior Accountant	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 10:27	False
Нарантуул Групп	Рестораны менежер	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 27. 10:26	False
Нэкст Групп XXK	ОНЛАЙН МАРКЕТИНГ МЕНЕЖЕР	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 27. 10:26	False
SGS-IMME Mongolia LLC	HR and Admin Executive	Уул уурхай	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 27. 10:26	False
Гацуурт ХХК	ХАБЭА-н ажилтан /хүнс үйлдвэрлэл/	Үйлдвэрлэл, Дэд бүтэц	Дээд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 27. 10:25	False
Глобал Бридж Групп	БАРИЛГЫН ТАЛБАЙН ДААМАЛ	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 27. 10:25	False
Гурван Билэг Констракшн ХХК	Ерөнхий нягтлан бодогч /туршлагатай/	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:25	False
Гурван Билэг Констракшн ХХК	Нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 10:25	False
